nom;nom_officiel;slug_source;image;released
Eau;WATER;water;https://spritelocker.com/sprites/water_basic.webp;true
Terre;EARTH;earth;https://spritelocker.com/sprites/earth_basic.webp;true
Feu;FIRE;fire;https://spritelocker.com/sprites/fire_basic.webp;true
Poiscaille;FISHY;fishy;https://spritelocker.com/sprites/fishy_basic.webp;true
Air;AIR;air;https://spritelocker.com/sprites/air_basic.webp;true
Canard;DUCK;duck;https://spritelocker.com/sprites/duck_basic.webp;true
Fantome;GHOST;ghost;https://spritelocker.com/sprites/ghost_basic.webp;true
Demon;DEMON;demon;https://spritelocker.com/sprites/demon_basic.webp;true
Roi;KING;king;https://spritelocker.com/sprites/king_basic.webp;true
Aura;AURA;drifter;https://spritelocker.com/sprites/drifter_basic.webp;true
Buteur;STRIKER;soccer;https://spritelocker.com/sprites/soccer_basic.webp;true
Reve;DREAM;dream;https://spritelocker.com/sprites/dream_basic.webp;true
Punk;PUNK;punk;https://spritelocker.com/sprites/punk_basic.webp;true
Boss;BOSS;boss;https://spritelocker.com/sprites/boss_basic.webp;true
Seven;SEVEN;seven;https://spritelocker.com/sprites/seven_basic.webp;true
Peeky Peely;PEELY;peely;https://spritelocker.com/sprites/peely_basic.webp;true
Lootin' Llama;LLAMA;llama;https://spritelocker.com/sprites/llama_basic.webp;true
Batman;BATMAN;fossilmeal;https://spritelocker.com/sprites/fossilmeal_basic.webp;true
Faucheuse;GRIM REAPER;grimreaper;https://spritelocker.com/sprites/grimreaper_basic.webp;true
Point Zero;ZERO POINT;zeropoint;https://spritelocker.com/sprites/zeropoint_basic.webp;true
Cacahuete Grillee;BURNT PEANUT;theburntpeanut;https://spritelocker.com/sprites/theburntpeanut_basic.webp;true
Vini Jr.;VINI JR;cokeparmesan;https://spritelocker.com/sprites/cokeparmesan_basic.webp;true
Pollo;POLLO;companystargazer;https://spritelocker.com/sprites/companystargazer_basic.webp;true
John Wick;JOHN WICK;fillergrunt;https://spritelocker.com/sprites/fillergrunt_basic.webp;true
Ironmouse;IRONMOUSE;pedicureantacid;https://spritelocker.com/sprites/pedicureantacid_basic.webp;true
Buisson;BUSH;c7s4/bush;https://spritelocker.com/sprites/c7s4/bush_basic.webp;true
Aventure;ADVENTURE;c7s4/adventure;https://spritelocker.com/sprites/c7s4/adventure_basic.webp;true
8-Bit;8-BIT;c7s4/eightbit;https://spritelocker.com/sprites/c7s4/eightbit_basic.webp;true
Jonesy;JONESY;c7s4/jonesy;https://spritelocker.com/sprites/c7s4/jonesy_basic.webp;true
Eclaireur de Tempete;STORM SCOUT;c7s4/stormscout;https://spritelocker.com/sprites/c7s4/stormscout_basic.webp;true
Mega Man;MEGA MAN;c7s4/megaman;https://spritelocker.com/sprites/c7s4/megaman_basic.webp;true
Overshield;OVERSHIELD;c7s4/overshield;https://spritelocker.com/sprites/c7s4/overshield_basic.webp;true
Onigiri;ONIGIRI;c7s4/onigiri;https://spritelocker.com/sprites/c7s4/onigiri_basic.webp;true
Killswitch;KILLSWITCH;c7s4/killswitch;https://spritelocker.com/sprites/c7s4/killswitch_basic.webp;true
Sonic;SONIC;c7s4/sonic;https://spritelocker.com/sprites/c7s4/sonic_basic.webp;true
Tails;TAILS;c7s4/tails;https://spritelocker.com/sprites/c7s4/tails_basic.webp;true
Shadow;SHADOW;c7s4/shadow;https://spritelocker.com/sprites/c7s4/shadow_basic.webp;true
Lievre;JACKRABBIT;c7s4/jackrabbit;https://spritelocker.com/sprites/c7s4/jackrabbit_basic.webp;true
X-Ray;X-RAY;c7s4/xray;https://spritelocker.com/sprites/c7s4/xray_basic.webp;true
Couronne;CROWN;c7s4/crown;https://spritelocker.com/sprites/c7s4/crown_basic.webp;true
Klombo;KLOMBO;c7s4/klombo;https://spritelocker.com/sprites/c7s4/klombo_basic.webp;true
